Label,Value
2019/8/24,2925433
2019/8/31,3972978
2019/9/7,2556205
2019/9/14,2051735
2019/9/21,3296729
2019/9/28,2168151
2019/10/5,5579420
2019/10/12,2266965
2019/10/19,2343952
2019/10/26,1695079
2019/11/2,1015536
2019/11/9,1333936
2019/11/16,754959
2019/11/23,876789
2019/11/30,1619221
2019/12/7,1481443
2019/12/14,2137519
2019/12/21,498463
2019/12/28,1775027
2020/1/4,144626
2020/1/11,1120246
2020/1/18,1114174
2020/1/25,1060718
2020/2/1,1603038
2020/2/8,4962771
2020/2/15,1671627
2020/2/22,1670204
2020/2/29,1439746
2020/3/7,9529456
2020/3/14,743235
2020/3/21,1628076
2020/3/28,623232
2020/4/4,1806500
2020/4/11,2374316
2020/4/18,2691721
2020/4/25,1627595
2020/5/2,4762540
2020/5/9,5205924
2020/5/16,4645508
2020/5/23,4679572
2020/5/30,4925270
2020/6/6,2653111
2020/6/13,8800864
2020/6/20,1511471
2020/6/27,1803765
2020/7/4,969216
2020/7/11,2247426
2020/7/18,2288008
2020/7/25,788180
2020/8/1,2896278
2020/8/8,3104727
2020/8/15,1970109
2020/8/22,638166
2020/8/29,759624
2020/9/5,183797
2020/9/12,394552
2020/9/19,760652
2020/9/26,1230865
2020/10/3,571577
2020/10/10,662035
2020/10/17,1741806
2020/10/24,3831404
2020/10/31,1239362
2020/11/7,961160
2020/11/14,610087
2020/11/21,3433410
2020/11/28,1338285
2020/12/5,639509
2020/12/12,909383
2020/12/19,1164369
2020/12/26,1488938
2021/1/2,1998214
2021/1/9,3208256
2021/1/16,2297406
2021/1/23,690959
2021/1/30,869353
2021/2/6,3609977
2021/2/13,714882
2021/2/20,1916303
2021/2/27,1420493
2021/3/6,629077
2021/3/13,1649363
2021/3/20,1148857
2021/3/27,1494797
2021/4/3,1530748
2021/4/10,3509291
2021/4/17,2990650
2021/4/24,1039197
2021/5/1,1750013
2021/5/8,1218488
2021/5/15,143299
2021/5/22,351738
2021/5/29,664605
2021/6/5,685409
2021/6/12,910911
2021/6/19,1610564
2021/6/26,1155169
2021/7/3,1010990
2021/7/10,1086283
2021/7/17,697304
2021/7/24,1837457
2021/7/31,1495766
2021/8/7,1522610
2021/8/14,967122
2021/8/21,2079719
2021/8/28,1734304
2021/9/4,1387853
2021/9/11,1031173
2021/9/18,1568991
2021/9/25,853577
2021/10/2,2539850
2021/10/9,2034334
2021/10/16,724228
2021/10/23,880320
2021/10/30,657917
2021/11/6,1109302
2021/11/13,1434231
2021/11/20,2927171
2021/11/27,2833671
2021/12/4,3925105
2021/12/11,946821
2021/12/18,1956048
2021/12/25,198000
2022/1/1,994551
2022/1/8,3240570
2022/1/15,7152257
2022/1/22,411380
2022/1/29,1072418
2022/2/5,130940
2022/2/12,713352
2022/2/19,1079654
2022/2/26,462000
2022/3/5,649000
2022/3/12,1149282
2022/3/19,822000
2022/3/26,66671
2022/4/2,5047932
2022/4/9,2413059
2022/4/16,3335003
2022/4/23,1558885
2022/4/30,2225532
2022/5/7,707134
2022/5/14,2143833
2022/5/21,3482866
2022/5/28,1912221
2022/6/4,899964
2022/6/11,456516
2022/6/18,248410
2022/6/25,472110
2022/7/2,126807
2022/7/9,530290
2022/7/16,1192627
2022/7/23,1118779
2022/7/30,1391042
2022/8/6,433000
2022/8/13,806703
2022/8/20,1015041
2022/8/27,826800
2022/9/3,290870
2022/9/10,874382
